kume,auc,dogruluk,duyarlilik_ozg90,brier
"ic dogrulama (0,3,4)",0.9570142750270281,0.8514548238897397,0.8950995405819295,0.1097823828458786
dis dogrulama (merkez 1),0.9740989666666665,0.8916333333333334,0.9370666666666667,0.08529708534479141
dis test (merkez 2),0.9685912616396649,0.8477282576085869,0.9244666666666667,0.11591848731040955
