kol,n,ic_auc,dis_auc,dis_auc_std,dusus,dusus_std,pozitif,dis_duy,dis_brier
taban cizgisi,15,0.9726446090534979,0.9482492181069959,0.02056892010295666,0.02439539094650201,0.022263745526177034,14/15,0.8579259259259259,0.12478083024422325
renk artirma,15,0.9762785185185184,0.9513002469135804,0.016764722403308698,0.024978271604938256,0.020209929489824287,13/15,0.8662222222222223,0.11897351567943888
gri tonlama,15,0.9634357201646091,0.9394408230452673,0.04817880511694203,0.023994897119341618,0.04977727123201387,11/15,0.8441481481481482,0.13052524526913958
