kat,tohum,dis_test_merkez,kume,n_karo,n_hasta,auc,dogruluk,duyarlilik_ozg90,brier
0,42,0,ic_dogrulama,900,3,0.9346024691358026,0.7988888888888889,0.8066666666666666,0.16427600383758545
0,42,0,dis_dogrulama,900,3,0.9315851851851852,0.7755555555555556,0.8355555555555556,0.1742001622915268
0,42,0,dis_test,900,3,0.970311111111111,0.8922222222222222,0.92,0.0887891948223114
0,43,0,ic_dogrulama,900,3,0.9139802469135803,0.7888888888888889,0.7311111111111112,0.18537886440753937
0,43,0,dis_dogrulama,900,3,0.8325037037037036,0.7611111111111111,0.6177777777777778,0.21501776576042175
0,43,0,dis_test,900,3,0.942879012345679,0.8911111111111111,0.8644444444444445,0.09088492393493652
0,44,0,ic_dogrulama,900,3,0.9828641975308643,0.9477777777777778,0.9533333333333334,0.042907342314720154
0,44,0,dis_dogrulama,900,3,0.9341530864197531,0.7611111111111111,0.7711111111111111,0.20939791202545166
0,44,0,dis_test,900,3,0.9451851851851851,0.8088888888888889,0.8511111111111112,0.1586303412914276
1,42,1,ic_dogrulama,900,3,0.9589530864197531,0.8255555555555556,0.8644444444444445,0.1417895406484604
1,42,1,dis_dogrulama,900,3,0.9671456790123456,0.9111111111111111,0.9177777777777778,0.07051156461238861
1,42,1,dis_test,900,3,0.9470716049382717,0.8577777777777778,0.8866666666666667,0.11124266684055328
1,43,1,ic_dogrulama,900,3,0.9624888888888888,0.84,0.8666666666666667,0.13364079594612122
1,43,1,dis_dogrulama,900,3,0.8885135802469136,0.8077777777777778,0.7422222222222222,0.16559290885925293
1,43,1,dis_test,900,3,0.9368493827160493,0.7877777777777778,0.8311111111111111,0.18074949085712433
1,44,1,ic_dogrulama,900,3,0.9910419753086421,0.9277777777777778,0.98,0.05420990660786629
1,44,1,dis_dogrulama,900,3,0.9553333333333333,0.8122222222222222,0.8644444444444445,0.15181279182434082
1,44,1,dis_test,900,3,0.9691407407407407,0.8566666666666667,0.9133333333333333,0.11737490445375443
2,42,2,ic_dogrulama,900,3,0.9423111111111111,0.7511111111111111,0.7933333333333333,0.21674925088882446
2,42,2,dis_dogrulama,900,3,0.9786716049382717,0.9366666666666666,0.9444444444444444,0.05084710568189621
2,42,2,dis_test,900,3,0.9530320987654322,0.82,0.8533333333333334,0.14314395189285278
2,43,2,ic_dogrulama,900,3,0.9633827160493826,0.8811111111111111,0.8755555555555555,0.0991983562707901
2,43,2,dis_dogrulama,900,3,0.9734765432098765,0.9366666666666666,0.9311111111111111,0.05454956367611885
2,43,2,dis_test,900,3,0.942604938271605,0.8644444444444445,0.8311111111111111,0.10652770102024078
2,44,2,ic_dogrulama,900,3,0.9849333333333333,0.9455555555555556,0.9644444444444444,0.044047389179468155
2,44,2,dis_dogrulama,900,3,0.9690074074074074,0.9222222222222223,0.92,0.058481164276599884
2,44,2,dis_test,900,3,0.9786222222222223,0.9277777777777778,0.9444444444444444,0.055214691907167435
3,42,3,ic_dogrulama,900,3,0.9796938271604938,0.9233333333333333,0.9466666666666667,0.05588962882757187
3,42,3,dis_dogrulama,900,3,0.8894716049382716,0.7544444444444445,0.7288888888888889,0.20143559575080872
3,42,3,dis_test,900,3,0.9793382716049382,0.9277777777777778,0.9422222222222222,0.05492990463972092
3,43,3,ic_dogrulama,900,3,0.9611604938271605,0.8911111111111111,0.8777777777777778,0.08738706260919571
3,43,3,dis_dogrulama,900,3,0.9574765432098766,0.79,0.8688888888888889,0.1672838032245636
3,43,3,dis_test,900,3,0.9654320987654321,0.9122222222222223,0.92,0.0746702030301094
3,44,3,ic_dogrulama,900,3,0.9782666666666667,0.9344444444444444,0.9511111111111111,0.05215873569250107
3,44,3,dis_dogrulama,900,3,0.9191851851851852,0.7533333333333333,0.7555555555555555,0.19413569569587708
3,44,3,dis_test,900,3,0.9762617283950616,0.9311111111111111,0.9422222222222222,0.051808226853609085
4,42,4,ic_dogrulama,900,3,0.9832740740740742,0.9377777777777778,0.9622222222222222,0.05037224665284157
4,42,4,dis_dogrulama,900,3,0.9639160493827159,0.9066666666666666,0.9244444444444444,0.07684005051851273
4,42,4,dis_test,900,3,0.9234814814814816,0.7966666666666666,0.7955555555555556,0.16437223553657532
4,43,4,ic_dogrulama,900,3,0.9656246913580248,0.9088888888888889,0.9111111111111111,0.06847535073757172
4,43,4,dis_dogrulama,900,3,0.9743999999999999,0.9088888888888889,0.9133333333333333,0.06837407499551773
4,43,4,dis_test,900,3,0.8052493827160494,0.7188888888888889,0.5711111111111111,0.2513638138771057
4,44,4,ic_dogrulama,900,3,0.948958024691358,0.8766666666666667,0.8577777777777778,0.09569071233272552
4,44,4,dis_dogrulama,900,3,0.9506419753086419,0.8733333333333333,0.8688888888888889,0.10011803358793259
4,44,4,dis_test,900,3,0.8561530864197531,0.6588888888888889,0.5955555555555555,0.3081764280796051
