kat,tohum,dis_test_merkez,kume,n_karo,n_hasta,auc,dogruluk,duyarlilik_ozg90,brier
0,42,0,ic_dogrulama,900,3,0.9609728395061728,0.8388888888888889,0.9088888888888889,0.12522318959236145
0,42,0,dis_dogrulama,900,3,0.9003209876543209,0.8055555555555556,0.7333333333333333,0.1720367819070816
0,42,0,dis_test,900,3,0.9267555555555556,0.8211111111111111,0.8,0.14628629386425018
0,43,0,ic_dogrulama,900,3,0.9417086419753087,0.7811111111111111,0.84,0.18664035201072693
0,43,0,dis_dogrulama,900,3,0.878562962962963,0.7566666666666667,0.6444444444444445,0.21821153163909912
0,43,0,dis_test,900,3,0.9486938271604939,0.8977777777777778,0.9022222222222223,0.08983311802148819
0,44,0,ic_dogrulama,900,3,0.9897382716049383,0.9455555555555556,0.9733333333333334,0.04406430199742317
0,44,0,dis_dogrulama,900,3,0.9238962962962963,0.7877777777777778,0.7555555555555555,0.16647663712501526
0,44,0,dis_test,900,3,0.9457481481481482,0.8666666666666667,0.8577777777777778,0.10255171358585358
1,42,1,ic_dogrulama,900,3,0.9824444444444445,0.9244444444444444,0.9577777777777777,0.05799921229481697
1,42,1,dis_dogrulama,900,3,0.8882024691358026,0.8,0.7066666666666667,0.15030084550380707
1,42,1,dis_test,900,3,0.9627259259259259,0.8488888888888889,0.9066666666666666,0.11906415224075317
1,43,1,ic_dogrulama,900,3,0.9745777777777778,0.9088888888888889,0.92,0.07541680335998535
1,43,1,dis_dogrulama,900,3,0.8957432098765432,0.7566666666666667,0.7288888888888889,0.2035994976758957
1,43,1,dis_test,900,3,0.9149827160493827,0.8222222222222222,0.6688888888888889,0.1441642940044403
1,44,1,ic_dogrulama,900,3,0.9913283950617284,0.9666666666666667,0.9733333333333334,0.028575507923960686
1,44,1,dis_dogrulama,900,3,0.9470962962962962,0.6766666666666666,0.8511111111111112,0.28690433502197266
1,44,1,dis_test,900,3,0.955288888888889,0.8977777777777778,0.8933333333333333,0.08582529425621033
2,42,2,ic_dogrulama,900,3,0.9766271604938273,0.8877777777777778,0.9288888888888889,0.08982731401920319
2,42,2,dis_dogrulama,900,3,0.9643753086419753,0.9466666666666667,0.9377777777777778,0.04720153287053108
2,42,2,dis_test,900,3,0.9535111111111112,0.7822222222222223,0.8577777777777778,0.17334799468517303
2,43,2,ic_dogrulama,900,3,0.9746617283950617,0.9,0.9311111111111111,0.08185318112373352
2,43,2,dis_dogrulama,900,3,0.9678765432098765,0.9277777777777778,0.9311111111111111,0.06021086126565933
2,43,2,dis_test,900,3,0.9231061728395061,0.7944444444444444,0.7422222222222222,0.15715137124061584
2,44,2,ic_dogrulama,900,3,0.9889827160493827,0.9422222222222222,0.9711111111111111,0.04703214019536972
2,44,2,dis_dogrulama,900,3,0.9753037037037038,0.9288888888888889,0.9488888888888889,0.06281536817550659
2,44,2,dis_test,900,3,0.9590172839506174,0.6533333333333333,0.8844444444444445,0.2939990162849426
3,42,3,ic_dogrulama,900,3,0.9891506172839506,0.9366666666666666,0.9688888888888889,0.04723064601421356
3,42,3,dis_dogrulama,900,3,0.9691703703703705,0.8977777777777778,0.9066666666666666,0.07409143447875977
3,42,3,dis_test,900,3,0.964651851851852,0.9277777777777778,0.9355555555555556,0.056890588253736496
3,43,3,ic_dogrulama,900,3,0.980646913580247,0.9177777777777778,0.9422222222222222,0.059025947004556656
3,43,3,dis_dogrulama,900,3,0.9771358024691358,0.8977777777777778,0.9355555555555556,0.07078252732753754
3,43,3,dis_test,900,3,0.9583654320987655,0.9222222222222223,0.92,0.06483490020036697
3,44,3,ic_dogrulama,900,3,0.9880444444444444,0.9311111111111111,0.9622222222222222,0.05117315426468849
3,44,3,dis_dogrulama,900,3,0.9914913580246913,0.9455555555555556,0.9733333333333334,0.03813563287258148
3,44,3,dis_test,900,3,0.9586024691358026,0.9333333333333333,0.9177777777777778,0.058109842240810394
4,42,4,ic_dogrulama,900,3,0.9885432098765432,0.9544444444444444,0.98,0.03662654384970665
4,42,4,dis_dogrulama,900,3,0.9600296296296297,0.9077777777777778,0.9111111111111111,0.07557999342679977
4,42,4,dis_test,900,3,0.9688,0.8444444444444444,0.9133333333333333,0.1188194677233696
4,43,4,ic_dogrulama,900,3,0.9710271604938273,0.9155555555555556,0.94,0.06981862336397171
4,43,4,dis_dogrulama,900,3,0.9689283950617283,0.8777777777777778,0.9177777777777778,0.10050700604915619
4,43,4,dis_test,900,3,0.9683012345679013,0.9033333333333333,0.9133333333333333,0.07522740960121155
4,44,4,ic_dogrulama,900,3,0.9457234567901235,0.87,0.8422222222222222,0.10805082321166992
4,44,4,dis_dogrulama,900,3,0.9761679012345679,0.9044444444444445,0.9311111111111111,0.0764763206243515
4,44,4,dis_test,900,3,0.9609530864197531,0.88,0.88,0.09849727898836136
