kat,tohum,dis_test_merkez,yontem,n,dogruluk,brier,duyarlilik
0,42,0,ic_tavan,0,0.8911111111111111,0.15890862047672272,0.8822222222222222
0,42,0,esik_ic,0,0.8266666666666667,0.13955233991146088,0.7955555555555556
0,42,0,esik_dis,20,0.8488888888888889,0.13955233991146088,0.7955555555555556
0,42,0,platt,20,0.8488888888888889,0.16112427413463593,0.7955555555555556
0,42,0,esik_dis,50,0.8433333333333334,0.13955233991146088,0.7955555555555556
0,42,0,platt,50,0.8433333333333334,0.12806802988052368,0.7955555555555556
0,42,0,esik_dis,100,0.8433333333333334,0.13955233991146088,0.7955555555555556
0,42,0,platt,100,0.8433333333333334,0.12283165007829666,0.7955555555555556
0,42,0,esik_dis,200,0.8488888888888889,0.13955233991146088,0.7955555555555556
0,42,0,platt,200,0.8488888888888889,0.11566584557294846,0.7955555555555556
0,42,0,esik_dis,400,0.8433333333333334,0.13955233991146088,0.7955555555555556
0,42,0,platt,400,0.8433333333333334,0.11276523023843765,0.7955555555555556
0,43,0,ic_tavan,0,0.8488888888888889,0.16729341447353363,0.8
0,43,0,esik_ic,0,0.8244444444444444,0.13413681089878082,0.7666666666666667
0,43,0,esik_dis,20,0.7688888888888888,0.13413681089878082,0.7666666666666667
0,43,0,platt,20,0.7688888888888888,0.13543474674224854,0.7666666666666667
0,43,0,esik_dis,50,0.7866666666666666,0.13413681089878082,0.7666666666666667
0,43,0,platt,50,0.7866666666666666,0.12705737352371216,0.7666666666666667
0,43,0,esik_dis,100,0.8422222222222222,0.13413681089878082,0.7666666666666667
0,43,0,platt,100,0.8422222222222222,0.12412411719560623,0.7666666666666667
0,43,0,esik_dis,200,0.8311111111111111,0.13413681089878082,0.7666666666666667
0,43,0,platt,200,0.8311111111111111,0.12414718419313431,0.7666666666666667
0,43,0,esik_dis,400,0.8311111111111111,0.13413681089878082,0.7666666666666667
0,43,0,platt,400,0.8311111111111111,0.12488647550344467,0.7666666666666667
0,44,0,ic_tavan,0,0.9366666666666666,0.045885488390922546,0.9733333333333334
0,44,0,esik_ic,0,0.8266666666666667,0.15483371913433075,0.8088888888888889
0,44,0,esik_dis,20,0.7577777777777778,0.15483371913433075,0.8088888888888889
0,44,0,platt,20,0.7577777777777778,0.15587382018566132,0.8088888888888889
0,44,0,esik_dis,50,0.84,0.15483371913433075,0.8088888888888889
0,44,0,platt,50,0.84,0.13606853783130646,0.8088888888888889
0,44,0,esik_dis,100,0.8388888888888889,0.15483371913433075,0.8088888888888889
0,44,0,platt,100,0.8388888888888889,0.13548853993415833,0.8088888888888889
0,44,0,esik_dis,200,0.85,0.15483371913433075,0.8088888888888889
0,44,0,platt,200,0.85,0.13711324334144592,0.8088888888888889
0,44,0,esik_dis,400,0.8533333333333334,0.15483371913433075,0.8088888888888889
0,44,0,platt,400,0.8533333333333334,0.1456795483827591,0.8088888888888889
1,42,1,ic_tavan,0,0.9144444444444444,0.10580248385667801,0.9311111111111111
1,42,1,esik_ic,0,0.7722222222222223,0.08680040389299393,0.9022222222222223
1,42,1,esik_dis,20,0.8844444444444445,0.08680040389299393,0.9022222222222223
1,42,1,platt,20,0.8844444444444445,0.11283541470766068,0.9022222222222223
1,42,1,esik_dis,50,0.8844444444444445,0.08680040389299393,0.9022222222222223
1,42,1,platt,50,0.8844444444444445,0.08987635374069214,0.9022222222222223
1,42,1,esik_dis,100,0.8844444444444445,0.08680040389299393,0.9022222222222223
1,42,1,platt,100,0.8844444444444445,0.0843513160943985,0.9022222222222223
