kat,tohum,dis_test_merkez,kol,ic_auc,auc,dogruluk,duyarlilik_ozg90,brier
0,42,0,taban,0.9543901234567902,0.9279358024691358,0.8266666666666667,0.7955555555555556,0.13955233991146088
0,42,0,esik200,,0.9279358024691358,0.8488888888888889,0.7955555555555556,0.13955233991146088
0,42,0,bn100,0.5909037037037037,0.8838617283950618,0.7733333333333333,0.6355555555555555,0.21225480735301971
0,42,0,bn_tam,0.918883950617284,0.9883086419753087,0.9066666666666666,0.9777777777777777,0.0387757234275341
0,42,0,bn_tam+esik,,0.9883086419753087,0.9411111111111111,0.9777777777777777,0.0387757234275341
0,43,0,taban,0.9318913580246914,0.9090518518518518,0.8244444444444444,0.7666666666666667,0.13413681089878082
0,43,0,esik200,,0.9090518518518518,0.8311111111111111,0.7666666666666667,0.13413681089878082
0,43,0,bn100,0.8202740740740742,0.9131901234567901,0.8233333333333334,0.8177777777777778,0.16391980648040771
0,43,0,bn_tam,0.9220246913580247,0.979283950617284,0.8911111111111111,0.9511111111111111,0.04666993021965027
0,43,0,bn_tam+esik,,0.979283950617284,0.9177777777777778,0.9511111111111111,0.04666993021965027
0,44,0,taban,0.9900740740740741,0.9226320987654321,0.8266666666666667,0.8088888888888889,0.15483371913433075
0,44,0,esik200,,0.9226320987654321,0.85,0.8088888888888889,0.15483371913433075
0,44,0,bn100,0.8596395061728396,0.9192691358024692,0.8355555555555556,0.7511111111111111,0.38393434882164
0,44,0,bn_tam,0.9653679012345678,0.9785506172839505,0.8566666666666667,0.9444444444444444,0.065334253013134
0,44,0,bn_tam+esik,,0.9785506172839505,0.9255555555555556,0.9444444444444444,0.065334253013134
1,42,1,taban,0.9775703703703704,0.9626567901234568,0.7722222222222223,0.9022222222222223,0.08680040389299393
1,42,1,esik200,,0.9626567901234568,0.89,0.9022222222222223,0.08680040389299393
1,42,1,bn100,0.6511851851851852,0.7181728395061728,0.6077777777777778,0.32666666666666666,0.49248793721199036
1,42,1,bn_tam,0.9110222222222222,0.9754518518518519,0.8133333333333334,0.9422222222222222,0.054045822471380234
1,42,1,bn_tam+esik,,0.9754518518518519,0.8877777777777778,0.9422222222222222,0.054045822471380234
1,43,1,taban,0.9692,0.9154518518518518,0.8288888888888889,0.7355555555555555,0.14980970323085785
1,43,1,esik200,,0.9154518518518518,0.8166666666666667,0.7355555555555555,0.14980970323085785
1,43,1,bn100,0.8722469135802469,0.8699012345679011,0.77,0.6355555555555555,0.41490238904953003
1,43,1,bn_tam,0.9701777777777778,0.8761481481481481,0.7811111111111111,0.6066666666666667,0.21545548737049103
1,43,1,bn_tam+esik,,0.8761481481481481,0.76,0.6066666666666667,0.21545548737049103
1,44,1,taban,0.9919654320987653,0.9583654320987655,0.8122222222222222,0.8933333333333333,0.08574329316616058
1,44,1,esik200,,0.9583654320987655,0.8922222222222222,0.8933333333333333,0.08574329316616058
1,44,1,bn100,0.8789283950617284,0.9281925925925926,0.8388888888888889,0.7511111111111111,0.3678523004055023
1,44,1,bn_tam,0.94520987654321,0.9288691358024691,0.7155555555555555,0.8,0.1466357409954071
1,44,1,bn_tam+esik,,0.9288691358024691,0.8388888888888889,0.8,0.1466357409954071
2,42,2,taban,0.9719506172839506,0.9621777777777778,0.8955555555555555,0.8933333333333333,0.22257982194423676
2,42,2,esik200,,0.9621777777777778,0.8922222222222222,0.8933333333333333,0.22257982194423676
2,42,2,bn100,0.6694864197530864,0.8957580246913581,0.8144444444444444,0.7244444444444444,0.32648810744285583
2,42,2,bn_tam,0.9519950617283951,0.9624197530864196,0.8666666666666667,0.9044444444444445,0.0928330346941948
2,42,2,bn_tam+esik,,0.9624197530864196,0.9,0.9044444444444445,0.0928330346941948
